duration_hours,group,threshold_label,threshold_mm,model,bin_index,bin_lower,bin_upper,n_samples,mean_forecast_probability,observed_frequency
6,overall,0.5in,12.7,ann_csgd,0,0.0,0.1,37958894,0.003519255707486536,0.003937232733914745
6,overall,0.5in,12.7,ann_csgd,1,0.1,0.2,527508,0.1389719589587538,0.14713900073553388
6,overall,0.5in,12.7,ann_csgd,2,0.2,0.3,170112,0.24292714025529538,0.25643693566591425
6,overall,0.5in,12.7,ann_csgd,3,0.3,0.4,83052,0.3450071154038398,0.3604127534556663
6,overall,0.5in,12.7,ann_csgd,4,0.4,0.5,49477,0.44631655019201383,0.4610425045980961
6,overall,0.5in,12.7,ann_csgd,5,0.5,0.6,33159,0.5471449689790479,0.5563798667028559
6,overall,0.5in,12.7,ann_csgd,6,0.6,0.7,23515,0.6470539189439466,0.6443546672336806
6,overall,0.5in,12.7,ann_csgd,7,0.7,0.8,16925,0.7474352679752705,0.7350073855243723
6,overall,0.5in,12.7,ann_csgd,8,0.8,0.9,13079,0.848416840964496,0.8238397430996254
6,overall,0.5in,12.7,ann_csgd,9,0.9,1.0,12839,0.9537374012352698,0.9227354155308046
6,overall,1in,25.4,ann_csgd,0,0.0,0.1,38700491,0.0015489238609987018,0.0016342169922340262
6,overall,1in,25.4,ann_csgd,1,0.1,0.2,115925,0.13746112203196972,0.13476816907483286
6,overall,1in,25.4,ann_csgd,2,0.2,0.3,35258,0.24279628294163008,0.23943502183901527
6,overall,1in,25.4,ann_csgd,3,0.3,0.4,16218,0.3446745170678409,0.332840054260698
6,overall,1in,25.4,ann_csgd,4,0.4,0.5,8685,0.4451099832715423,0.4270581462291307
6,overall,1in,25.4,ann_csgd,5,0.5,0.6,5160,0.5453876182436943,0.5162790697674419
6,overall,1in,25.4,ann_csgd,6,0.6,0.7,3247,0.6462827769653372,0.6208808130582075
6,overall,1in,25.4,ann_csgd,7,0.7,0.8,1897,0.7458787008719376,0.6937269372693727
6,overall,1in,25.4,ann_csgd,8,0.8,0.9,1233,0.846645658758725,0.8304947283049473
6,overall,1in,25.4,ann_csgd,9,0.9,1.0,446,0.9324244880890098,0.9080717488789237
6,overall,2in,50.8,ann_csgd,0,0.0,0.1,38876571,0.0003218086358876013,0.0002859820121481393
6,overall,2in,50.8,ann_csgd,1,0.1,0.2,8838,0.135316445631095,0.11439239646978955
6,overall,2in,50.8,ann_csgd,2,0.2,0.3,2030,0.24054510405498186,0.21921182266009853
6,overall,2in,50.8,ann_csgd,3,0.3,0.4,668,0.34284546685789874,0.36676646706586824
6,overall,2in,50.8,ann_csgd,4,0.4,0.5,258,0.4457757188830265,0.3992248062015504
6,overall,2in,50.8,ann_csgd,5,0.5,0.6,125,0.5433504576683045,0.504
6,overall,2in,50.8,ann_csgd,6,0.6,0.7,59,0.6357519000263537,0.6271186440677966
6,overall,2in,50.8,ann_csgd,7,0.7,0.8,11,0.7230038697069342,0.7272727272727273
6,overall,2in,50.8,ann_csgd,8,0.8,0.9,0,nan,nan
6,overall,2in,50.8,ann_csgd,9,0.9,1.0,0,nan,nan
6,overall,0.5in,12.7,gnn_csgd,0,0.0,0.1,37907034,0.003598446522768109,0.0037141919359873947
6,overall,0.5in,12.7,gnn_csgd,1,0.1,0.2,562984,0.1392230637823193,0.1428832790985179
6,overall,0.5in,12.7,gnn_csgd,2,0.2,0.3,182310,0.24273641372793145,0.25572376720969775
6,overall,0.5in,12.7,gnn_csgd,3,0.3,0.4,87105,0.3448556342544269,0.36284943459043684
6,overall,0.5in,12.7,gnn_csgd,4,0.4,0.5,51117,0.44622234869565797,0.46982412895905473
6,overall,0.5in,12.7,gnn_csgd,5,0.5,0.6,34070,0.5465342564092271,0.5699442324625771
6,overall,0.5in,12.7,gnn_csgd,6,0.6,0.7,23786,0.647449782077011,0.659001093079963
6,overall,0.5in,12.7,gnn_csgd,7,0.7,0.8,17211,0.7472459711803259,0.7655569112776712
6,overall,0.5in,12.7,gnn_csgd,8,0.8,0.9,12832,0.8480329144318726,0.847568578553616
6,overall,0.5in,12.7,gnn_csgd,9,0.9,1.0,10111,0.9455499359483995,0.9372960142419148
6,overall,0.5in,12.7,raw_hrrr,0,0.0,0.1,38514175,0.0,0.006721031931749804
6,overall,0.5in,12.7,raw_hrrr,9,0.9,1.0,374385,1.0,0.3559036820385432
