duration_hours,threshold_mm,model,n_samples,n_events,cutoff,cutoff_label,true_positive,false_positive,false_negative,true_negative,hit_rate,false_positive_rate,area_under_displayed_curve,published_auc
6,12.7,raw_hrrr,38888560,392100,,No positive forecasts,0,0,392100,38496460,0.0,0.0,0.666780035950968,0.666780035950968
6,12.7,raw_hrrr,38888560,392100,1.0,1,133245,241140,258855,38255320,0.3398240244835501,0.006263952581613998,0.666780035950968,0.666780035950968
6,12.7,raw_hrrr,38888560,392100,0.0,0,392100,38496460,0,0,1.0,1.0,0.666780035950968,0.666780035950968
6,12.7,ann_csgd,38888560,392100,,No positive forecasts,0,0,392100,38496460,0.0,0.0,0.802859373470894,0.9586261145862163
6,12.7,ann_csgd,38888560,392100,0.9,0.9,11847,992,380253,38495468,0.030214231063504206,2.576860313909383e-05,0.802859373470894,0.9586261145862163
6,12.7,ann_csgd,38888560,392100,0.8,0.8,22622,3296,369478,38493164,0.05769446569752614,8.561826204279562e-05,0.802859373470894,0.9586261145862163
6,12.7,ann_csgd,38888560,392100,0.7,0.7,35062,7781,357038,38488679,0.08942106605457792,0.00020212248087226722,0.802859373470894,0.9586261145862163
6,12.7,ann_csgd,38888560,392100,0.6,0.6,50214,16144,341886,38480316,0.12806426931905127,0.00041936323495718827,0.802859373470894,0.9586261145862163
6,12.7,ann_csgd,38888560,392100,0.5,0.5,68663,30854,323437,38465606,0.17511604182606477,0.0008014762915862913,0.802859373470894,0.9586261145862163
6,12.7,ann_csgd,38888560,392100,0.4,0.4,91474,57520,300626,38438940,0.23329252741647538,0.0014941633594361663,0.802859373470894,0.9586261145862163
6,12.7,ann_csgd,38888560,392100,0.3,0.3,121407,110639,270693,38385821,0.3096327467482785,0.0028740045188570588,0.802859373470894,0.9586261145862163
6,12.7,ann_csgd,38888560,392100,0.2,0.2,165030,237128,227070,38259332,0.4208875286916603,0.006159735206821614,0.802859373470894,0.9586261145862163
6,12.7,ann_csgd,38888560,392100,0.1,0.1,242647,687019,149453,37809441,0.6188395817393522,0.017846290282275305,0.802859373470894,0.9586261145862163
6,12.7,ann_csgd,38888560,392100,0.0,0,392100,38496460,0,0,1.0,1.0,0.802859373470894,0.9586261145862163
6,12.7,gnn_csgd,38888560,392100,,No positive forecasts,0,0,392100,38496460,0.0,0.0,0.8136053613497508,0.9644689850355677
6,12.7,gnn_csgd,38888560,392100,0.9,0.9,9477,634,382623,38495826,0.024169854628921194,1.6469046764299885e-05,0.8136053613497508,0.9644689850355677
6,12.7,gnn_csgd,38888560,392100,0.8,0.8,20353,2590,371747,38493870,0.051907676613108904,6.727891343775506e-05,0.8136053613497508,0.9644689850355677
6,12.7,gnn_csgd,38888560,392100,0.7,0.7,33529,6625,358571,38489835,0.08551134914562612,0.00017209374576259738,0.8136053613497508,0.9644689850355677
6,12.7,gnn_csgd,38888560,392100,0.6,0.6,49204,14736,342896,38481724,0.12548839581739352,0.00038278844340492607,0.8136053613497508,0.9644689850355677
6,12.7,gnn_csgd,38888560,392100,0.5,0.5,68622,29388,323478,38467072,0.1750114766641163,0.0007633948679956547,0.8136053613497508,0.9644689850355677
6,12.7,gnn_csgd,38888560,392100,0.4,0.4,92638,56489,299462,38439971,0.23626115786789084,0.001467381676133338,0.8136053613497508,0.9644689850355677
6,12.7,gnn_csgd,38888560,392100,0.3,0.3,124244,111988,267856,38384472,0.31686814588115275,0.0029090467019564914,0.8136053613497508,0.9644689850355677
