duration_hours,start_forecast_hour,end_forecast_hour,valid_start_utc,valid_end_utc,message_count,variables,grib2,grib2_sha256,sidecar,sidecar_sha256,inventory,inventory_sha256,size_bytes
6,0,6,2026-09-15T12:00:00Z,2026-09-15T18:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f00_f06/hrrr_2026091512_f00_f06_gnncsgd_6h_core.grib2,696dbee679d75bb6b777206bc1eb3378e8fb63bca8bb7a82f37d641e3fc2f6af,6h/f00_f06/hrrr_2026091512_f00_f06_gnncsgd_6h_core.grib2.json,b0661e433ad04d9318da0a17298f5241b948d79eb194d7d1fa6e7a7f33225148,6h/f00_f06/wgrib2_inventory.txt,559e9d7ea4bbf71dcec642de117873acf09f4ad4d4d28f9ec2ae737b1a59ec83,219342
6,6,12,2026-09-15T18:00:00Z,2026-09-16T00:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f06_f12/hrrr_2026091512_f06_f12_gnncsgd_6h_core.grib2,ebb62d494d58126f182f9b6a3e8caec9c01a998184e3ecf02ee6ef608e561482,6h/f06_f12/hrrr_2026091512_f06_f12_gnncsgd_6h_core.grib2.json,bd63542d9b04fa175882ef43ed6660ab5ccb15f47fd0b94f4ae2eae8e5c52f82,6h/f06_f12/wgrib2_inventory.txt,df49cee94881275cc1ef521d933764d17569f5f11f7762f493f854a162315c59,219342
6,12,18,2026-09-16T00:00:00Z,2026-09-16T06:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f12_f18/hrrr_2026091512_f12_f18_gnncsgd_6h_core.grib2,9dc09f708b6ec529624c05516b004bbf12aa86d1cf8f61d2ef2b55724731975c,6h/f12_f18/hrrr_2026091512_f12_f18_gnncsgd_6h_core.grib2.json,8cf6f17ce7adfcc3e4992b91e39aee5364223305f5f7166b97007159d8eaa3e5,6h/f12_f18/wgrib2_inventory.txt,e46e7a8cb344ee2bf486f810cc682949cb7eb1f013dc0d08887be802d0db25f3,219342
6,18,24,2026-09-16T06:00:00Z,2026-09-16T12:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f18_f24/hrrr_2026091512_f18_f24_gnncsgd_6h_core.grib2,37c8ddbfcce2d7f241e5aa0cce9f4e24ce6f249cb6f1f4ed24ee29269633ee05,6h/f18_f24/hrrr_2026091512_f18_f24_gnncsgd_6h_core.grib2.json,750e41acbb5908c4561164ab8c49233eaede391b6fba3b2cee8c25145fb52673,6h/f18_f24/wgrib2_inventory.txt,57ff217a414b8dbc1c6183c3417364a3187f82871234a5c05c0388eed4c824fd,219342
6,24,30,2026-09-16T12:00:00Z,2026-09-16T18:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f24_f30/hrrr_2026091512_f24_f30_gnncsgd_6h_core.grib2,3a5d3445a75994d50c5ff68c62435d2d6dd132d788bb12e785b102dd380a5a4a,6h/f24_f30/hrrr_2026091512_f24_f30_gnncsgd_6h_core.grib2.json,8c71980d419216fa12f81ba1efc2276aeac516cc891d91a3520b9a9836073111,6h/f24_f30/wgrib2_inventory.txt,baca01b5ade77141e6f90e11385af529cbf7b4e1e40c4df9025980f10a5f77d6,219342
6,30,36,2026-09-16T18:00:00Z,2026-09-17T00:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f30_f36/hrrr_2026091512_f30_f36_gnncsgd_6h_core.grib2,c351351541430877ed6f9d761c9d9f50e9f0f6031fc36126e87fd683c8d06b6d,6h/f30_f36/hrrr_2026091512_f30_f36_gnncsgd_6h_core.grib2.json,6eaed096759d74775e335b8fb03b40bf3bdc1436cb16d538ce2ab33a18a5f9ee,6h/f30_f36/wgrib2_inventory.txt,f6ceae3c9f26c3262664d84ecaf401e494af42a70c4b8d7f39706e70cfedcb68,219342
6,36,42,2026-09-17T00:00:00Z,2026-09-17T06:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f36_f42/hrrr_2026091512_f36_f42_gnncsgd_6h_core.grib2,d2ba05a4507504c05a612be569f0b35dabc59eb67e175323dda49d831116cc1d,6h/f36_f42/hrrr_2026091512_f36_f42_gnncsgd_6h_core.grib2.json,d5ae36cdde5b0e07ee90b439f57304bd4af4271ba4378c0da3c50a8aa3f0d2b5,6h/f36_f42/wgrib2_inventory.txt,93d1c10f211f391e42dc46bc3eb7189904c14add6bd0bef53738f4039f925098,219342
6,42,48,2026-09-17T06:00:00Z,2026-09-17T12:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f42_f48/hrrr_2026091512_f42_f48_gnncsgd_6h_core.grib2,d980420d0482b3a295548c09eb004c9e0df3c6a5bebb55dca661439a54a211c1,6h/f42_f48/hrrr_2026091512_f42_f48_gnncsgd_6h_core.grib2.json,2d913058ed213427a6701d1a5514bbd81ee97315b578a60b5fb7f36509ef3974,6h/f42_f48/wgrib2_inventory.txt,f32c5e8e7175d67367040b6c90b5a2a7d3b69a707c0a88c5baa3cf8643a9625e,219342
12,0,12,2026-09-15T12:00:00Z,2026-09-16T00:00:00Z,5,expected_precip_mm;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent;prob_gt_3inch_percent,12h/f00_f12/hrrr_2026091512_f00_f12_gnncsgd_12h_core.grib2,bca1369fbbef6be385c9718856fe71289ecff61a2120d83aecf64bce88f39f19,12h/f00_f12/hrrr_2026091512_f00_f12_gnncsgd_12h_core.grib2.json,d4502328ce9e9f78114da881cb31b8bfda7f711a5cd6569c7c1dc2aa5c0207d8,12h/f00_f12/wgrib2_inventory.txt,25356c929d7ae3d85061b5ad9446130c7d9516b678448165494a1277a25b0ccf,219342
12,6,18,2026-09-15T18:00:00Z,2026-09-16T06:00:00Z,5,expected_precip_mm;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent;prob_gt_3inch_percent,12h/f06_f18/hrrr_2026091512_f06_f18_gnncsgd_12h_core.grib2,b06549c92d90e6be7a8012006913daf601671aee8a9a0884a7581b3491ef4e32,12h/f06_f18/hrrr_2026091512_f06_f18_gnncsgd_12h_core.grib2.json,1ac8b245340c3811664ff3245132085b25d517c6fbc923515bb6ba10dfcef12d,12h/f06_f18/wgrib2_inventory.txt,9e7018e47483ea89b75485f2ff337fb10da8285cb03c0ab45735107e6403e976,219342
